Date,Up_4pct_Daily,Down_4pct_Daily,Up_2pct_Daily,Down_2pct_Daily,Up_25pct_Quarter,Down_25pct_Quarter,Up_50pct_Quarter,Up_25pct_Month,Down_25pct_Month,Up_50pct_Month,Up_13pct_34d,Down_13pct_34d,34_13D,T2108_Approx,Total_Stocks,5Day_Bulls,5Day_Bears,5Day_Ratio,10Day_Bulls,10Day_Bears,10Day_Ratio,DCR,Primary_Trend,Q25_Bull_Extreme_Threshold,Q25_Dip_Toe_Threshold,Thrust,Extreme_Zone,Market_Regime,Swing_Signal
2025-11-12,6,2,45,28,20,8,2,11,6,2,86,52,34,57.0,500,,,,,,,34,BULL,29.0,71.0,BEARISH_THRUST,EXTREME_BULLISH_ZONE,BULL,BUY_ZONE
2025-11-13,3,37,14,141,17,11,2,7,5,1,71,75,-4,45.7,501,,,,,,,-4,BULL,29.0,72.0,BEARISH_THRUST,EXTREME_BULLISH_ZONE,BULL,BUY_ZONE
2025-11-14,3,1,24,43,17,13,2,7,3,1,65,80,-15,43.3,501,12,40,0.3,,,,-15,BULL,29.0,72.0,BEARISH_THRUST,EXTREME_BULLISH_ZONE,BULL,BUY_ZONE
2025-11-17,0,26,10,154,16,18,2,6,5,2,58,91,-33,36.3,501,12,66,0.18,,,,-33,BEAR,29.0,72.0,BEARISH_THRUST,EXTREME_BULLISH_ZONE,BEAR,BUY_ZONE
2025-11-18,2,8,34,37,13,18,2,8,7,2,62,98,-36,35.5,501,14,74,0.19,14,74,0.19,-36,BEAR,29.0,72.0,BEARISH_THRUST,EXTREME_BULLISH_ZONE,BEAR,BUY_ZONE
2025-11-19,7,3,38,55,12,17,2,7,5,2,63,103,-40,34.7,501,15,75,0.2,21,77,0.27,-40,BEAR,29.0,72.0,BEARISH_THRUST,EXTREME_BULLISH_ZONE,BEAR,BUY_ZONE
2025-11-20,2,45,7,126,9,25,2,4,14,0,49,144,-95,30.1,501,14,83,0.17,23,122,0.19,-95,BEAR,29.0,72.0,BEARISH_THRUST,EXTREME_BULLISH_ZONE,BEAR,BUY_ZONE
2025-11-21,47,2,233,6,15,20,2,4,7,0,71,108,-37,43.7,501,58,84,0.69,70,124,0.56,-37,BEAR,29.0,72.0,NO_THRUST,EXTREME_BULLISH_ZONE,BEAR,BUY_ZONE
2025-11-24,18,4,84,37,20,16,2,5,8,1,81,99,-18,44.9,501,76,62,1.23,88,128,0.69,-18,BULL,29.0,72.0,NO_THRUST,EXTREME_BULLISH_ZONE,BULL,BUY_ZONE
2025-11-25,15,1,166,10,27,12,2,5,6,0,108,77,31,56.1,501,89,55,1.62,103,129,0.8,31,BULL,29.0,72.0,NO_THRUST,EXTREME_BULLISH_ZONE,BULL,BUY_ZONE
2025-11-26,9,2,61,10,29,12,2,5,4,0,123,68,55,61.1,501,91,54,1.69,106,129,0.82,55,BULL,29.0,72.0,NO_THRUST,EXTREME_BULLISH_ZONE,BULL,BUY_ZONE
2025-11-28,2,0,27,2,29,11,3,3,2,1,131,58,73,64.1,501,91,9,10.11,105,92,1.14,73,BULL,29.0,72.0,NO_THRUST,EXTREME_BULLISH_ZONE,BULL,BUY_ZONE
2025-12-01,3,10,17,78,25,12,3,2,2,1,118,68,50,57.3,501,47,17,2.76,105,101,1.04,50,BULL,29.0,72.0,NO_THRUST,EXTREME_BULLISH_ZONE,BULL,BUY_ZONE
2025-12-02,13,3,34,28,32,12,3,3,2,1,122,61,61,55.5,501,42,16,2.62,118,78,1.51,61,BULL,29.0,72.0,NO_THRUST,EXTREME_BEARISH_WARNING,BULL,SELECTIVE
2025-12-03,22,6,108,28,36,11,3,4,1,1,135,52,83,58.3,501,49,21,2.33,138,76,1.82,83,BULL,29.0,72.0,NO_THRUST,EXTREME_BEARISH_WARNING,BULL,SELECTIVE
2025-12-04,7,6,47,29,35,10,4,5,0,0,141,51,90,60.3,501,47,25,1.88,138,79,1.75,90,BULL,29.0,72.0,NO_THRUST,EXTREME_BEARISH_WARNING,BULL,SELECTIVE
2025-12-05,15,3,42,24,41,11,5,6,0,0,149,49,100,58.5,501,60,28,2.14,151,37,4.08,100,BULL,29.0,72.0,BULLISH_THRUST,EXTREME_BEARISH_WARNING,BULL,TRADE
2025-12-08,5,4,30,80,39,10,7,4,0,0,135,57,78,53.5,501,62,22,2.82,109,39,2.79,78,BULL,29.0,72.0,BULLISH_THRUST,EXTREME_BEARISH_WARNING,BULL,TRADE
2025-12-09,6,4,25,41,39,9,6,5,0,0,133,58,75,48.3,501,55,23,2.39,97,39,2.49,75,BULL,29.0,72.0,BULLISH_THRUST,EXTREME_BEARISH_WARNING,BULL,TRADE
